C/1991 L3 (Levy),0.9288178631,19.19030997,41.47119826,0.9825594709,26.62,51.28
P/1999 J6 (SOHO),0.9841773128,26.6131418,21.97680319,0.04905822804,6.15,5.46
P/1999 R1 (SOHO),0.9774091221,13.67622884,43.68972274,0.0570126508,4.99,4.01
P/1999 RO28 (LONEOS),0.6507867331,8.191041706,219.8588263,1.231758765,5.82,6.62
C/1999 X3 (SOHO),0.9816398786,6.337569475,353.7341335,0.04795123414,5.18,4.22
C/2001 OG108 (LONEOS),0.925259301,80.24505505,116.4195121,0.9940478795,25.61,48.5
C/2001 W2 (BATTERS),0.9413734582,115.9130897,142.0857566,1.051064641,34.81,75.91
C/2002 R5 (SOHO),0.985261262,14.12062881,45.7237989,0.04740160134,6.38,5.77
P/2002 S7 (SOHO),0.9848618681,13.57497488,52.15494545,0.04879857033,6.4,5.79
P/2003 T12 (SOHO),0.7764221763,11.4758078,217.6773881,0.5748399462,4.57,4.12
P/2004 R1 (McNaught),0.682526943,4.894555854,0.626837835,0.986192006,5.23,5.48
P/2005 T4 (SWAN),0.930297059,160.0361801,41.44353425,0.6493994391,17.98,28.44
P/2005 W4 (SOHO),0.9822675576,14.5962755,49.40000591,0.05398035994,6.03,5.31
P/2006 HR30 (Siding Spring),0.8431183899,31.88449913,117.4138753,1.226427704,14.41,21.86
P/2007 T2 (Kowalski),0.7748340855,9.895275619,358.5515716,0.695862748,5.49,5.43
P/2008 S1 (Catalina-McNaught),0.6663127807,15.1007464,203.6490232,1.190641555,5.95,6.74
P/2008 Y1 (Boattini),0.7348817591,8.805148715,162.3648341,1.27197954,8.32,10.51
P/2008 Y12 (SOHO),0.9787495375,23.34562318,146.6141611,0.06541368648,6.09,5.4
P/2009 L2 (Yang-Gao),0.6209298159,16.15851413,346.954318,1.296125756,5.54,6.32
P/2009 WX51 (Catalina),0.7402970341,9.592585691,118.0163889,0.7999555439,5.36,5.41
C/2010 L5 (WISE),0.9037561917,147.051681,214.729745,0.7909008329,15.64,23.56
P/2011 NO1 (Elenin),0.776521252,15.27233838,263.6169668,1.242925561,9.88,13.12
C/2011 S2 (Kowalski),0.9316035445,17.57253024,192.1899464,1.115118144,31.49,65.83
P/2012 NJ (La Sagra),0.8480618337,84.37545937,338.4139159,1.291890069,15.71,24.79
P/2013 CU129 (PANSTARRS),0.7221050362,12.14763226,211.9722717,0.800147691,4.96,4.89
P/2013 TL117 (Lemmon),0.6899137951,9.365636389,112.199132,1.117672075,6.09,6.84
P/2014 U2 (Kowalski),0.6029487638,7.495593453,35.25220977,1.164298274,4.7,5.02
P/2015 A3 (PANSTARRS),0.8481676984,172.5137446,249.5086139,1.15385721,14.05,20.95
C/2015 D1 (SOHO),0.9942677736,69.61628937,234.9530166,0.02832105639,9.85,10.98
C/2015 F2 (Polonia),0.9623991817,28.66103039,352.0587584,1.209544218,63.13,182.45
C/2015 F5 (SWAN-Xingming),0.9777341146,149.2569445,13.39233003,0.3460051321,30.73,61.26
